date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
"2014-04-03,36.3295,37.023,35.5975,35.9635,7939297,7939297,-0.356361,-0.981,""Apr 3, 14"",0.9478370605471396"
"2014-04-04,36.0309,36.3295,34.962,35.2123,8733197,8733197,-0.751246,-2.089,""Apr 4, 14"",0.9071509426808858"
"2014-04-07,35.4242,36.0984,34.1528,34.461,10577786,10577786,-0.751248,-2.133,""Apr 7, 14"",0.8664594086647565"
"2014-04-08,34.6729,34.8848,32.3807,34.6537,17409958,17409958,0.192628,0.559,""Apr 8, 14"",0.8768963294752292"
"2014-04-09,34.75,35.6361,33.8639,35.5397,11479241,11479241,0.886087,2.557,""Apr 9, 14"",0.9248834173739258"
"2014-04-10,35.3471,36.0021,33.3245,33.9891,16312604,16312604,-1.5507,-4.363,""Apr 10, 14"",0.8409005974013313"
"2014-04-11,32.843,34.1528,32.3518,32.4383,15538291,15538291,-1.5507,-4.562,""Apr 11, 14"",0.7569069451289855"
"2014-04-14,32.7467,33.4883,31.562,32.1399,13466805,13466805,-0.298475,-0.92,""Apr 14, 14"",0.7407451538998986"
"2014-04-15,32.2843,33.0645,30.6855,32.477,15981721,15981721,0.337099,1.049,""Apr 15, 14"",0.7590029951308811"
"2014-04-16,32.9104,34.278,32.6889,34.201,15636133,15636133,1.724,5.308,""Apr 16, 14"",0.8523774189879383"
"2014-04-17,34.1914,34.5429,33.5364,34.095,9225655,9225655,-0.105947,-0.31,""Apr 17, 14"",0.8466363001196968"
"2014-04-21,33.7868,34.4707,33.5749,34.3551,7190588,7190588,0.260049,0.763,""Apr 21, 14"",0.8607237059463909"
"2014-04-22,34.4418,35.3856,34.4321,34.827,8942295,8942295,0.471937,1.374,""Apr 22, 14"",0.8862825172098161"
"2014-04-23,35.7709,36.2139,35.0582,35.7227,14649452,14649452,0.895715,2.572,""Apr 23, 14"",0.9347949716464555"
"2014-04-24,36.4451,36.8304,34.4803,35.8865,21038719,21038719,0.163735,0.458,""Apr 24, 14"",0.9436666251428508"
"2014-04-25,35.6361,35.742,34.5862,34.6729,9576404,9576404,-1.2136,-3.382,""Apr 25, 14"",0.8779362302513634"
"2014-04-28,35.0678,35.3664,33.0741,33.8639,13149281,13149281,-0.809033,-2.333,""Apr 28, 14"",0.8341195777569557"
"2014-04-29,33.9024,34.3358,33.6809,34.201,8994998,8994998,0.337097,0.995,""Apr 29, 14"",0.8523774189879383"
"2014-04-30,34.3647,34.5573,33.6038,33.7772,6946491,6946491,-0.423781,-1.239,""Apr 30, 14"",0.8294237758147244"
"2014-05-01,34.5381,35.3471,34.1576,35.0485,11502084,11502084,1.2713,3.764,""May 1, 14"",0.8982792891844902"
"2014-05-02,34.933,35.3616,34.7307,35.1449,6987195,6987195,0.096313,0.275,""May 2, 14"",0.9035004576646645"
"2014-05-05,34.75,35.4242,34.4707,35.2508,5819281,5819281,0.105944,0.301,""May 5, 14"",0.90923616038303"
"2014-05-06,35.7709,36.0213,35.0485,35.3182,9492604,9492604,0.067421,0.191,""May 6, 14"",0.9128866453992514"
"2014-05-07,35.1834,35.9346,34.9715,35.848,7800951,7800951,0.529726,1.5,""May 7, 14"",0.9415814074407066"
"2014-05-08,35.8768,36.84,35.6842,36.84,14451109,14451109,0.99203,2.767,""May 8, 14"",0.9953096142076445"
"2014-05-09,36.5607,37.2734,36.5125,36.8496,9704405,9704405,0.009632,0.026,""May 9, 14"",0.9958295645957116"
"2014-05-12,36.9363,38.0343,36.9363,37.938,12440659,12440659,1.0883,2.953,""May 12, 14"",1.0547789398428233"
"2014-05-13,37.5142,38.2751,37.4179,37.8609,8680113,8680113,-0.077051,-0.203,""May 13, 14"",1.0506030882886592"
"2014-05-14,37.6394,37.7935,37.1386,37.4082,7993886,7993886,-0.452675,-1.196,""May 14, 14"",1.026084177801368"
"2014-05-15,37.1289,37.3023,36.0984,36.7822,10677177,10677177,-0.62604,-1.674,""May 15, 14"",0.9921790795794903"
"2014-05-16,36.6088,37.2541,36.368,37.1048,7062948,7062948,0.32265,0.877,""May 16, 14"",1.0096515790784961"
"2014-05-19,37.0711,37.7165,36.6955,37.1482,7165081,7165081,0.043344,0.117,""May 19, 14"",1.01200218812455"
